its good but it moves at a very slow pace.,1,
it's not challenging enough.,1,
it keeps reinforcing basic vocabulary using baby sentences while occasionaly adding new words.,1,
"it's also alot of multiple choice which helps you choose the right answer by ellimimating the obvious wrong answers, which makes it too easy and doesnt help me learn.",1,
they need less multiple choice and more speaking without words on screen.,1,
that would make it more challenging and more like learning a language in the real world.,0,
some languages are designed well - japanese.,2,
"others, like korean, seem to have been designed by a teenager only interested in talking about boy bands/ girl bands... seriously, skip all logical vocabulary and into sentences and go straight into ""that singer is not cool. """,1,
please redesign korean so it makes sense.,1,
streamlined interface.,0,
addictive features.,0,
"learning chinese, i enjoy the incremental vocabulary and systematic sentences.",2,
"i'm disappointed that we must learn the sounds of characters before their meanings, which often inspire their shape.",1,
i'm also ambivalent that one can get perfect scores with very sloppy studying.,0,
this app works fine without having the adds removed.,2,
they're more options online which is convenient if you have the time.,0,
"i am using it for japanese and i have only found one translation errors ""excuse me, i am an apple.""",0,
unless that's a popular saying in japan?,0,
i wish they added a voice recognition to practice saying the words/symbols/ and sentences.,1,
other then that i work on it two hours a day and repeat a lot of the lessons and i think it's great ðŸ˜Š,0,
duolingo is a great app to learn languages but it is not complete so you don't find every language you are looking for.,0,
"also the listening exercises don't work after the last update and i don't hear anything, please fix this problem.",1,
otherwise it is really great and if didn't have these issues i would give a five star.,0,
i pay and subscribe so that tells you quite a lot.,0,
"however, after an (old) update, provided comments, but received no response from developers, i am a little disappointed with their customer engagement.",1,
"... ... old comment : ""i can no longer see how many words i've learnt this month, (and the previous month's either) also, where are the little graphs of progress etc ""what were you thinking""?",1,
"...... please bring back those features""",0,
"it would be more, realistic if they allowed month to month memberships.",1,
i dislike the all or nothing feeling.,0,
"it irks me that the ads claim to be to help everyone learn for free, yet they don't have a pay plan for those of us who are on fixed incomes, and are striving to change that.",1,
newsflash duolingo... not everyone who uses this app is so wealthy they can afford to give you a year up front...& not everyone who uses this app is so dirt poor that free is the only answer.,1,
get flexible please.,0,
it keeps putting me in offline mode.,1,
my internet and data both work fine.,0,
and everytime i finish a lesson it changes what level i'm on.,0,
i got to level four and then it took me back to level three so i finished a part of level three and it reset me back to the beginning of level three again?,1,
i'm making no progress.,0,
"i would give you 5 stars but the environment you designed for ios is better that the one for android, if you improve the android one maybe, maybe i would give you the 5 stars and pay the plus subscription.",1,
"update: as soon as i wrote the previous comment the app changed to an ios like environment, don't know how, i didn't download an update and i don't let the device do it on its own!",0,
"so... very strange, right?",0,
now i am taking down another star because the speaking exercises are annoying.,1,
great app.,0,
i am learning german.,0,
edit : i am having issues with my app recently.,0,
my internet connection is perfectly fine yet it's failing to connect to the internet.,1,
everything was good until a couple of days ago before i updated the app to the latest version.,0,
the hearts (that you use to practice) don't continue to recharge unless you open the app again.,1,
left app alone for 13 hours thinking i would have almost 3 hearts to practice with but i only had one.,0,
clicked the hearts to see the timer... started counting down 5 hours.. please fix the refill period of the hearts.,1,
"i've used this app before and it was pretty good, but i got a new phone and had to redownload the app.",0,
i kept trying to log back in using my email but it kept saying there was an error.,1,
tried downloading it again and it's still not working.,0,
i will give it 3 stars because i learned basics of german just in 2 days but now the sounds in the listening exercises aren't coming so i have to skip it moreover earlier when i pressed any word it used to pronounce it for me which helped a lot but it has stopped i don't know why it happened but plz help me i really like this app .,1,
"the audio in listening excercises is not working, also when selecting an answsr it doesnt read it, while the sound when u answer correctly can be heared.",1,
i have the app and the issue is not solved in the latest update.,0,
so many duplicate answers while learning japanese while only one of them is good.,1,
