duolingo,today when doing a lesson the new year promotion popped up and after closing it my plus subscription is no longer active.,1
duolingo,i still have until the end of april but can't find a way to reinstate the plus features.,1
duolingo,tried reporting it through the help centre but that has a bug too and i'm unable to submit my request.,1
duolingo,this pp isn't about learning anymore but a competition to stay in the league.,1
duolingo,i try to learn for hours daily but i still get devoted and it's so frustration.,1
duolingo,i end up doing stories to stay in the league instead of learning.,1
duolingo,i'll have to look for another pp that is strictly for learning and not competing with imaginary people,1
duolingo,never make learning process a competition.,1
duolingo,competing in leagues and striving to secure place in top 10 has been one of the worst experiences.,1
duolingo,"and this new health system is breaking, people learn with mistakes and they should be let to do so.",1
duolingo,better domingo changes the way of health and the leagues.,1
duolingo,"it was very good at first, but now it does not play sounds and pronunciation an there is no support for this problem",1
duolingo,"after the recent update, the pronunciation of the words and and sentences are gone.",1
duolingo,i have to go on learning without sound and voice guide.,1
duolingo,the pp others me several times per day and they send me multiple email per day to keep practicing.,1
duolingo,"great pp without hearts, but really sucks with them.",1
duolingo,you get five lives a day and then you lose one for every simple mistake.,1
duolingo,they justify the hearts by saying that you won't learn new material if you spend too much time on the pp.,1
duolingo,"this seems to be a flat out lie, because everything else is feared to making you want to spend more time learning, leagues, up's, etc.",1
duolingo,"pp asks, what language do you speak but it's not showing rude neither i want to read text in rude , i prefer english text but i have to select environment from those languages which i can't even read .. why we must have to choose our language while we installed english version of pp there must be no restrictions on selecting language for environment as it can stay in english and user can learn any of your given language.",1
duolingo,"now it is basically just a flash card game pp, not a true language course.",1
duolingo,the heart feature they have added is useless - if it is my goal to learn a language in 3 months and i'm limited to 10 mistakes a day i'm not going to get very far!,1
duolingo,"however, i hate the streaks and the leaderboard, i don't want to compete with others.",1
duolingo,i want to learn at my own pace.,1
duolingo,"i love this pp, though was hacked pretty badly after making exceptional progress and can't get my money back for the plus account and haven't received a response after reporting it three times.",1
duolingo,they need a way to log out of all locations and two-factor authentication to fix these types of issues.,1
duolingo,"i had to disabled my account after two years of progress, start over after a 69-day streak, and lost everything.",1
duolingo,"it used to crash a lot, that has been fixed.",1
duolingo,now i have an pp telling me i don't know how to read and write languages that i grew up with.,1
duolingo,"if the people that designed this pp are so smart, i dare them to try and live one day on the streets of la speaking the spanish they say is spanish.",1
duolingo,"also, the lack of help is awful in the pp.",1
duolingo,i also tried domingo plus and it's not worth the money.,1
duolingo,the new hearts addition is basically negative reinforcement.,1
duolingo,"however, after the recent update with this awful heart system, i can no longer continue with my usual method of learning.",1
duolingo,"actually , the words don't sound like its written.",1
duolingo,and it had the worst start i guess!,1
duolingo,"sorry to say , but its the worst pp to learn organ.",1
duolingo,really good for french/spanish etc the!~,1
duolingo,it just throws random characters at you and you have to figure out what they are and how they are used.,1
duolingo,at first it was good but the audit portions are muffled and with egg making it difficult to discern the speech.,1
duolingo,"also when it asks me to type the latin i hear, when i do it says i am tying in english.",1
duolingo,poor quality control.,1
duolingo,"""health"" (whatever that is) runs out every time you make a tiniest mistake.",1
duolingo,"i failed to type the final ""m"" in ""mon"" at the end of a (somewhat lengthy) sentence, and it immediately erased a portion of my health find a better way to handle free users, or i'll find another way to practise my foreign language skill....",1
duolingo,"the language lists are not in alphabetical order which makes finding a language tricky, then the actual teaching doesn't help because they just say words so fast you can't really catch the proper pronunciation.",1
duolingo,domingo has tricked me into paying again for the subscription by saying i lost my 397 day streak when i didn't as i had streak freeze bought.,1
duolingo,"now i played 10$ for the subscription, had to cancel the securing payments, checked the pp, got back my streak, but the monthly streak repair (the reason i bought the subscription) wasn't used up.",1
duolingo,meaning domingo lied to me into paying.,1
duolingo,i have now lost all my nights for shipping a day.,1
duolingo,i used plus for a month and it sucked because office mode is super buggy and it doesn't download enough lessons at a time.,1
duolingo,you also lose your streak unless connected to the internet every day so i lost my nearly 300 day streak even though i studied office every day!,1
duolingo,finally single month sub cost should be closer to 6/simon sub costs- like $8/month.,1
duolingo,it's not right to have to spend $13/mon for the same thing bc i'm too poor to pay $50 at once.,1
duolingo,"cannot delete a language properly, it just replaces it whenever you delete a course.",1
duolingo,"mobile pp is extremely inferior to the desktop version, esp.",1
duolingo,"alternative answers from english to other languages are not accepted, despite them being valid in the language spoken.",1
duolingo,"doesn't explain why you got something wrong, esp.",1
duolingo,get rid of the hearts!,1
duolingo,this pp could be amazing if they would get rid of the hearts/lives aspect of it.,1
duolingo,having to wait 5 hours while trying to learn a new language is making this harder than it already is.,1
duolingo,"get a heart, start a lesson, but once you make another mistake you are back to waiting another 5 hours.",1
duolingo,cynical money grab.,1
