rosettastone,1,1,i have no other accounts.
rosettastone,1,11,absolutely terrible in every way.
rosettastone,1,3,c. children.
rosettastone,1,1,"arabic grammar is probably the most complicated of all languages, yet no grammar, no vocabulary."
rosettastone,1,2,admit
rosettastone,1,1,terrible experience.
rosettastone,1,16,but a picture is worth a thousand words.
rosettastone,1,30,the pronunciation exercises are really irritating.
rosettastone,1,0,does not pick up your voice very well.
rosettastone,1,1,no motivation step or anything to direct me to my subscription.
rosettastone,1,1,incredibly frustrated by this pp and getting nowhere with customer support.
rosettastone,1,1,"was wrapped by misleading ad for ""free"" trial."
rosettastone,1,0,"when you're to repeat word(s) that you have no clue as to what that spanish word(s) mean, but are expected to choose from the images that describe what you're saying?!?!"
rosettastone,1,13,considering the cost the lessons are rather bland and not very useful from a practical language usage.
rosettastone,1,0,have used other applications and they have no problems recognizing my words.
rosettastone,1,0,i also take one on one lessons and my teacher even has no issues with how i pronounce words.
rosettastone,1,0,not user friendly.
rosettastone,1,3,speech recognition is horrible.
rosettastone,1,0,doesn't help pronounce all words!!!
rosettastone,1,0,i wouldn't be at all surprised if this was managed by a root.
rosettastone,1,0,"sides load to fast not giving you ability to pause things and really understand, there are wrong word meanings which is a no no for a language leaving pp."
rosettastone,1,7,also its not free
rosettastone,1,6,"this used to be a great pp, but forget passing any pronunciation tasks with it."
rosettastone,1,31,if you're a beginner i wouldn't dare touch this.
rosettastone,1,31,for beginners even advanced i'd say no unless you have extra cash around and want to strengthen some minor points.. maybe.. i have no clue why this sold so much.
rosettastone,1,26,"i no your going to reply wit dynamic immersion, i can watch the spanish channel for dynamic immersion for free."
rosettastone,1,0,of makes learning fun by turning it into a sort of game where you compete against others.
rosettastone,1,0,no free lessons.
rosettastone,1,0,no!
rosettastone,1,2,"unlike every single free pp i've used, this pp only provides words in first script.. there is no english alphabet entering to help with pronunciation eg ""salem"" for سلام."
rosettastone,1,0,only the first 4 are free.
rosettastone,1,4,terrible experience .
rosettastone,1,8,these people are crazy.
rosettastone,1,0,there no way to learn with these lessons.
rosettastone,2,1,just practically flash cards.
rosettastone,2,8,no!!!
rosettastone,2,2,speech recognition is horrible?
rosettastone,2,1,"nice concept, intuition execution."
rosettastone,2,1,very sluggish pace.
rosettastone,2,0,i work my way 3/4 through core.
rosettastone,2,9,"last, but not least, i cannot switch the user interface language."
rosettastone,2,0,"not worth paying for, there are programs that are just as effective but with smaller price tags."
rosettastone,2,0,concepts are not.
rosettastone,2,0,my accent and vocabulary are really improving!
rosettastone,2,0,i got a better experience with top 1 pp.
rosettastone,3,1,a picture can tell many stories.
rosettastone,3,0,slow loading at times but fun
rosettastone,3,0,good and exciting when needed
rosettastone,3,0,not by itself !
rosettastone,3,5,"since it does not teach language principles, you learn slowly and are literally being babies along."
rosettastone,3,0,i don't like guessing at what the sentences are saying.
rosettastone,3,0,it runs smoothly but want consistent enough.
rosettastone,3,38,"lessons are good, but there is not very much repetition of previous lessons once a unit has been completed."
rosettastone,3,38,not sure why is doesn't emphasize repetition more.
rosettastone,3,0,photo are nice to describe nous but some profound are confusing and i need to research outside program to find definitions.
rosettastone,3,28,very intuition.
rosettastone,3,0,was offered a few introductory lessons free.if i had no basic spanish it would be difficult for me to match the conversation with the pictures as no english is used and words are not defined.
rosettastone,3,0,this pp helps in learning any language very easily.
rosettastone,4,1,are.
rosettastone,4,4,"st core lesson is great, but spoken voice is much too fast."
rosettastone,4,1,there are no specific grammar theory lessons as most things tend to make perfect sense with this conceptual learning approach.
rosettastone,4,1,"it judges your pronunciation and asks you to repeat things, as well as flash cards with visual and hearing and spelling."
rosettastone,4,16,lessons are interactive.
rosettastone,4,0,it uses repetition to help understand the language.
rosettastone,4,1,the exercises are interesting and helpful.
rosettastone,4,1,it's like i am playing a game but learning a language!
rosettastone,4,0,"like the repetition and learning enhancements, as well as pace."
rosettastone,4,1,great pp takes u step by step in each lesson.
rosettastone,4,0,interactive and fun but sometimes it clashes
rosettastone,4,3,i can feel my brain making associations.
rosettastone,4,20,how this is set up can be rather greeting or intense.
rosettastone,4,44,other than that i have no complaints at all.
