app,ratings,helpful-vote,comment
duolingo,3,0,"its good but it moves at a very slow pace. it's not challenging enough. it keeps enforcing basic vocabulary using baby sentences while occasionally adding new words. it's also clot of multiple choice which helps you choose the right answer by eliminating the obvious wrong answers, which makes it too easy and doesn help me learn. they need less multiple choice and more speaking without words on screen. that would make it more challenging and more like learning a language in the real world."
duolingo,3,455,"domingo is good for vocabulary, but it offers absolutely no explanation on grammar. while taking the spanish placement test (i intended to use the pp to help maintain my knowledge of the language), it appeared to believe that the present and the present progressive tense were the same, which they absolutely are not! while this pp may be useful for vocabulary, i absolutely will not be using it after seeing that mix-up with the grammar."
duolingo,3,1,"i'm thinking of quitting do after using it pretty heavily and i'll tell you why. it has a reward-based motivation system, which is great, but your reward is not proportional to your effort. when you reach high levels, the levels are harder and harder to complete and take longer but the up reward per unit doesn't go up so it gets harder and harder to compete with people who are bruising through new languages. it gets frustration and i'm not sure i want to do it much longer."
duolingo,3,0,"great for learning romance languages. but i'm trying to brush up on my japanese and its not the best. made me start with the basis because the test had so much anti i didn't know. starting with the basis is fine when you know what the hirigana is already and can speak and listen fine, but if you try to learn this as a new learner, its pretty rough."
duolingo,3,1,"i really love this pp. i have been wanting to learn scottish garlic for years and have tried some of the other resources available online but not gotten too far because there isn't as much interactivity with them so this has been great for that. the only reason it has 3 stars is quite frequently it doesn't record that a lesson has already been done so it is just a case of getting the same ones over and over. normally happens on a monday starting a new league 🥺 besides this, amazing pp 😊"
duolingo,3,16,"this pp is great to expose you to new words, however, i wouldn't recommend only relying on it to teach you a language. some recommendations: 1) there is no word bank so i had to write everything down. 2)i also wish that they had character tracing for the mobile version, especially for asia characters where stroke order matters. 3) recently i've had to type a lot of words. i've found that do isn't all that forgiving of types or different wording, but i appreciate the report option."
duolingo,3,1,"the hearts ruined this pp. it really hinders learning when you are forced to stop because you mistyped a couple of words. it gives you the option to refill your hearts for gems, well now i did that and lost all my gems and the hearts did not refill! get rid of the hearts and this would make a wonderful learning tool."
duolingo,3,0,"it worked fine until i updated it today. now, the up isn't being added as i do lessons, the skill i finished isn't shown finished (i tried twice, completed it but it still shows 5/7 lessons done), my result in the league isn't changing, i gained 0 up for doing a test. please fix, i've got a league to win!"
duolingo,3,2,"some languages are designed well - japanese. others, like organ, seem to have been designed by a teenager only interested in talking about boy bands/ girl bands... seriously, skin all logical vocabulary and into sentences and go straight into ""that singer is not cool. "" please design organ so it makes sense."
duolingo,3,0,"streamlined interface. adjective features. learning chinese, i enjoy the incremental vocabulary and systematic sentences. i'm disappointed that we must learn the sounds of characters before their meanings, which often inspire their shape. i'm also ambivalent that one can get perfect scores with very floppy studying."
duolingo,3,0,"this pp works fine without having the adds removed. they're more option online which is convenient if you have the time. i am using it for japanese and i have only found one translation errors ""excuse me, i am an apple."" unless that's a popular saying in japan? i wish they added a voice recognition to practice saying the words/symbols/ and sentences. other then that i work on it two hours a day and repeat a lot of the lessons and i think it's great 😊"
duolingo,3,0,i am very disappointed after second time it happened since started using domingo a month ago that after completing all lessons on a level of the topic and given the afar that i have reached next level the software all the sudden decided without any explanation that i did not. second time i lost not one but two lessons and basically i am forced to take them again to get the level completed. very frustration that my time and effort were wasted.
duolingo,3,0,"the team, this application is the first one i've invested a lot of time and money in. i really believe that it works; but i would have subscribed to a yearly subscription this time, unfortunately the amount got deduced and i couldn't remove auto payment. also it cost me more for a short period. please look into the matter as i would've wanted to pay for the coming year. a big fan, push"
duolingo,3,1,"i'm sure this pp has potential bit english to organ is really bad. my husband is organ and i wanted to learn some. and he says the translations are awkward and not how you would say it. i also think it's ridiculous how you go from learning letters to full sentences, no bridge between. no vocabulary. and the few words it does teach you is not informed in any way. i'm sure this works fine between languages that you can translate word for word. will delete and find simpler pp."
duolingo,3,0,"it is quite good for begins. i would like to say that i would like it to be a bit more easy. yes, creating an account is pretty easy (and free) but i feel like it's stupid to be required to make an account in order to learn more (especially if all it is is as and/or unnecessary features). still recommended. 3/5 ❤❤❤💔💔."
duolingo,3,1,"domingo is a great pp to learn languages but it is not complete so you don't find every language you are looking for. also the listening exercises don't work after the last update and i don't hear anything, please fix this problem. otherwise it is really great and if didn't have these issues i would give a five star."
duolingo,3,5,"i pay and subscribe so that tells you quite a lot. however, after an (old) update, provided comments, but received no response from developer, i am a little disappointed with their customer engagement. ... ... old comment : ""i can no longer see how many words i've learnt this month, (and the previous month's either) also, where are the little graph of progress etc ""what were you thinking""? ...... please bring back those features"""
duolingo,3,6,"love it, but i couldn't give it 5 stars. the ""hearts"" system is awful, and i absolutely hate it! i have to wait 5 hours for hearts to go up back just because i made a mistake. absolutely hate this feature and it should been take out sap. it really takes away from the enjoyment of learning"
duolingo,3,6,"i've been using this pp for over two months without a single issue and i find absolutely amazing, since progress is truly made and i actually am learning. problem is, last update destroyed it. laws all the time, while tapping on things, writing text or twitching between the pages (accepting settings or the leaderboard). even the andros are played slow or completely asyncronous, sometimes they play when the screen still has to recognize that i tapped on ""continue"". it is barely unable. fix it."
duolingo,3,1,"great pp. very easy learning. however, it doesn't let you create multiple profile under one account. i'm trying to create separate profile for my two kiss on two different devices but it keeps reverting to one profile on both devices! surely this couldn't be a difficult option to build into the pp?"
duolingo,3,24,"the pp is quite robust and well planned; however, the developer does not respond to feedback. i have sample several courses. some familiar and some unfamiliar. some courses contain into without explanation while others seem quite accurate. overall, i have enjoyed using the pp; however, i will not spend my money on an pp whose developer does not interact with its community. i chose three stars as i believe it is possible to learn from mistakes yet not without appropriate feedback."
duolingo,3,0,"i love this pp, it makes learning easy. but it's easier to understand the italian than the pp. why does running out of the hearts stop the lesson? where do the hearts come from in the first place? i really don't get it??? maybe i'm just too old. i would like to review lessons to practice but can't figure out how to, or indeed if it's possible. there is little or no guidance how navigable the course. i'll keep at it and hope i get the best from it, but i can't help thinking i'm missing bits out."
duolingo,3,1,"all in all, this is a good pp for learning a language. however, the recent update that added people characters in the lessons drives me crazy. i've also set modifications as a reminder to do my lessons for a certain time, and i get modifications at all hours of the day, so that's a little annoying."
duolingo,3,2,"it would be more, realistic if they allowed month to month membership. i dislike the all or nothing feeling. it irs me that the as claim to be to help everyone learn for free, yet they don't have a pay plan for those of us who are on fixed incomes, and are striving to change that. newsflash domingo... not everyone who uses this pp is so wealthy they can afford to give you a year up front...& not everyone who uses this pp is so dirt poor that free is the only answer. get flexible please."
duolingo,3,36,"i loved the domingo pp on my samson galaxy s, until...i progressed to the second level and started getting 'fill in the blank' questions. unfortunately, the pp would freeze, not access my keyboard. i couldn't type in an answer. i couldn't skin to the next question. my only option was to exit the lesson, which meant not getting credit for work i'd already done rendering the pp unable for further lessons. i can only use the webster, even though i paid for domingo plus. still happening!"
duolingo,3,0,in my opinion this is a great pp to learn languages. but there is something you should add to help others. you should add the language alphabet for each of them. and you should also add the pronunciation. but other than that this is an amazing pp!
duolingo,3,1,"domingo is great but the pp is not, i really don't understand why the grammar explanations that are available on the webster are not available on the pp. and that is what everybody criticism is about: the lack of explanations. that is why i use domingo on their mobile webpage so i can access the introduction to each lesson."
duolingo,3,0,"1/11/2020 enjoying the program so far for the most part, but i don't love the ""guessing game"" vice. they really don't teach you words, they just throw them in and you have to figure out what exactly they mean, all of their consolations, and grammatical uses on your own. i'm definitely liking this program as a flash introductory type thing, but i think i'll be looking elsewhere to round out my studies later on. :)"
