rosettastone,"constantly states ""check your internet connection"" despite being connected g or wife.",1
rosettastone,won't download lessons in advance either.,1
rosettastone,paid for a 2 year subscription but can't even use it.,1
rosettastone,kept smiling support without response until they replied to tell me my goose fixed 2 isn't supported and to buy another phone!,1
rosettastone,"since the update, the pp asks for a curl login code.",1
rosettastone,it is more expensive than it is worth i would rather have just got babel but sadly now i don't have a choice.,1
rosettastone,it locked me out after using it only 2 months saying it was on another account.,1
rosettastone,"after they charged me again for another $50,i still can't use it again.",1
rosettastone,"this pp isn't engaging enough, i found it boring and slow and it didn't teach me anything.",1
rosettastone,pp keeps telling me sign-in failed.,1
rosettastone,"when i attempted to contact support, chat doesn work either.",1
rosettastone,i can't even log in.,1
rosettastone,"application tried to remove money from my account without my knowledge, she wanted to pay 3 months of english even though i didn't even log in to create a profile on that application, so i do not recommend this application, beware of fraud",1
rosettastone,pp is not opening i tried it on my phone as well as on my friend's phone but its not opening.,1
rosettastone,"can't see the pictures, navigation not intuition.",1
rosettastone,"i tried to use this pp to further my study in the japanese language, but it seems that there is no beginner course.",1
rosettastone,how the hell am i supposed to figure out what the words that i can read with just pictures?,1
rosettastone,the program has the student repeat a russian word or phrase and gives only a picture for the description.,1
rosettastone,"i often for the free trial, and they immediately charged my card $49.",1
rosettastone,i want to like this pp so much but honestly how am i expected to learn a new language if you just tell me to say things with no explanations at all?,1
rosettastone,i get not using english but so far is has taught me nothing but random words with no real in-depth learning of the grammar.,1
rosettastone,"paid full price to have full access to the language learning lessons, but the subscription was not added to my account and i received error messages when trying to use the software.",1
rosettastone,i sent six email to the customer support and only received one reply asking for proof of purchase.,1
rosettastone,the customer support is terrible.,1
rosettastone,(but i'm the unit bottom it says 32 out of 32) please add dark mode.,1
rosettastone,"the pp is so white, learning at night is very tedious on the eyes.",1
rosettastone,"it's pretty expensive for me, make it free, put some adds, i'll never complain about it.",1
rosettastone,"was wrapped by misleading ad for ""free"" trial.",1
rosettastone,they charged for 3 months even though i canceled immediately they kept my money.,1
rosettastone,"the pp is great for learning, and i really anna learn more but when i press on purchase all lessons, the page for paying doesn't appear.",1
