app,ratings,helpful-vote,sentence
duolingo,2,0,i got the pp and have been using it all the time.
duolingo,2,0,personally thought it was great.
duolingo,2,0,"about a month in i tried to get my girlfriend to join, but for whatever reason her game uses ""hearts"" where mine uses ""lights""."
duolingo,2,0,"this difference literally means that she cannot do what i have been doing, which is playing for about 5 minutes each day."
duolingo,2,0,"the heart system actually stops you from learning and instead blocks you with a pay wall to play their ""free"" pp..."
duolingo,2,10,spanish: needs to indicate what dialect or country of origin each word comes from.
duolingo,2,10,needs much more variety with pronunciation examples.
duolingo,2,10,some examples are inaccurate or misleading.
duolingo,2,10,"needs option for all verbal only exercises, for marketing a specific dialect too."
duolingo,2,10,"the problem with visual based learning is that one needs visual cubs to remember things - once the cubs are absent (like in realistic conversation), you forget it all."
duolingo,2,10,"ok for absolute beginners, but not for further learning."
duolingo,2,1,often doesn't count when you've completed a level.
duolingo,2,1,have to take the same lessons over and over before it shows that it's been completed.
duolingo,2,1,"but if you make a mistake, it will take your hearts."
duolingo,2,1,"also, you sometimes have to pay twice to refill your hearts."
duolingo,2,1,"if the pp worked correctly, it would be a five star pp."
duolingo,2,18,this pp goes in wrong direction.
duolingo,2,18,"as many people have mentioned, the hearts system discourages learning."
duolingo,2,18,"besides, the pp lacks many features that the web version has - such as timed practice and ability to type answers instead of selecting them from the tray."
duolingo,2,18,"i used to be a plus user for several months, but stopped since i don't want to sponsor the changes i don't agree with."
duolingo,2,18,now it looks like it's time to install the pp altogether and stick to web.
duolingo,2,18,"if the gems make it to web too, i'm out."
duolingo,2,7,it's not horrible when you first start out.
duolingo,2,7,it's actually rather easy to learn.
duolingo,2,7,"however, there are some issues in the later ""levels""."
duolingo,2,7,"it gets harder, which it should."
duolingo,2,7,if you use headphones or earbuds the voice sounds like it is saying one thing but it is trying to say something else.
duolingo,2,7,the translations can be rather strange or awkward.
duolingo,2,7,"the heart system is kind of painless, it's only there to put a block on progress."
duolingo,2,7,"if you want a good language pp, i suggest paying a subscription to munro."
duolingo,2,11,"only feared towards an american audience, for both spanish and english earners (even the flags are wrong)."
duolingo,2,11,the same with portuguese.
duolingo,2,11,it's very inconsistent when his-tying due to finger errors.
duolingo,2,11,"however, the biggest problem is there are never any explanations as to why the rule is as it is."
duolingo,2,11,you only know if it's right or wrong and have no indication why this is the case.
duolingo,2,11,very limited but a decent option to start learning some basic vocabulary for a new language.
duolingo,2,1,"great pp, but there's some issues with the latest versions."
duolingo,2,1,i've had up take some courses over again because do somehow hasn't remembered what i've completed.
duolingo,2,1,and there's no bug-report feature!??
duolingo,2,1,"also, when you get the ""scuffle words"" to complete a sentence, it's no longer possible to rendering words by pulling (andros 10)"
duolingo,2,7,this pp is pretty much only good for vocabulary.
duolingo,2,7,"i'm trying to learn a completely new language, and the rules of the language are not being explained."
duolingo,2,7,"i don't know how to properly read the language, any of the grammar rules, what words to use in each instance, act."
duolingo,2,7,i'm not learning the language-- i'm learning neat words and phrases that do me no good w/o understanding.
duolingo,2,7,it would be better to give a lesson on the mechanics of the language and then the flash cards to test the skill.
duolingo,2,0,it is very easy for your brain to use process of elimination rather than memorization.
duolingo,2,0,clot better learning if you write along and keep the audit off and switch your keyboard to the native language.
duolingo,2,0,do not except to learn here without daily use of the pp and writing outside of it.
duolingo,2,0,this is my experience but when i am done i usually can't remember much of it or it is mixed up.
duolingo,2,0,(i am mainly referring to japanese and learning hiragana) this would be much better if it included a writing exercise.
duolingo,2,9,i honestly liked the older version better.
duolingo,2,9,"i hate the heart system, i only get 5 mistakes and i really don't want to pay."
duolingo,2,9,i'm learning french for school and it's really hard to when i only have 5 mistakes.
duolingo,2,9,"it would be 5 stars if there was no heart system, i get that they need people to pay but i like it when there was no heart system."
duolingo,2,50,this pp is very educational and helped me a lot with my languages ( learning spanish).
duolingo,2,50,"however, i am not impressed more than i am disappointed."
duolingo,2,50,"if you answer a question wrong, it takes away a heart and you only have 5 and if you run out you either have to wait or pay money to have unlimited hearts and the time for waiting is a couple of days."
duolingo,2,50,how are you supposed to learn if you can even try?
duolingo,2,50,i am very mad about the limit.
duolingo,2,6,have been using the pp to learn japanese for over 40 days straight.
duolingo,2,6,"however, i am unable to move on because i keep running out of hearts (i.e."
duolingo,2,6,"lives) for supposed errors, when i have the exact answer as the ""correction""."
duolingo,2,6,i have reported the errors to no resolve.
duolingo,2,6,so now i am frustrated and will be meeting the pp.
duolingo,2,6,i definitely do not have time for this...
duolingo,2,6,this new heart thing doesn't work.
duolingo,2,6,i got answers that are right but lose hearts regardless.
duolingo,2,6,i get penalized for minor spelling errors.
duolingo,2,6,and on top of that i need gems to refill those hearts.
duolingo,2,6,how long does it take to refill those gems.
duolingo,2,6,this doesn't help learning.
duolingo,2,6,it might help you get more subscribers but whatever.
duolingo,2,6,learning has turned from something fun to a stupid grind to refill my hearts.
duolingo,2,2,it's fine for those who have never studied a language before.
duolingo,2,2,"for advanced earners it's a joke, particularly with all of the technical stitches."
duolingo,2,2,it's impossible to move to new levels because the program translated wrong.
duolingo,2,2,"also, while i can move ahead in progress, it has stopped registering my advances."
duolingo,2,2,i get no record of my status.
duolingo,2,11,enjoyed the pp until they did an upgrade or reaped it.
duolingo,2,11,i had made it through all the levels.
duolingo,2,11,after the change i was essentially sent back to beginning and my progress was erased.
duolingo,2,11,i am not a beginner.
duolingo,2,11,i've spent a year trying to regain some advanced status again but pp keeps having me spend all my time on doing lessons that i've mixed out in.
duolingo,2,11,ridiculous.
duolingo,2,11,at this rate it will take 3-4 years to make any significant progress again.
duolingo,2,11,definitely thumbs down.
duolingo,2,11,it should encourage not discourage.
duolingo,2,14,"i enjoy learning japanese with this pp, the community is great, they give tips and tricks to understand the lessons easily, but i just have this issue in the leaderboard and achievements."
duolingo,2,14,"i have already finished first in the leaderboard twice, in the ruby and emerald league, but i wasn't able to receive any rewards or even accomplished the 'winner' or even the 'champion' in the achievements tax."
duolingo,2,14,"this is very frustration, i have lost my motivation to compete anymore please fix this."
duolingo,2,0,have been using this pp for couple of months now.
duolingo,2,0,it seems very promising at first but with time once you get past the very basis it starts to get very long and challenging without any real system of teaching i find myself memorizing correct answers in stead of learning the language.
duolingo,2,0,"this system i feel like is more focused on creating an impression of progress but lacking any practical teaching, testing of knowledge."
duolingo,2,0,this will work only as a complimentary pp to real courses.
duolingo,2,25,the health system sucks a lot.
duolingo,2,25,"it does not encourage attempting different ways to phrase sentences, and punishes me for trying to do more exercises a day."
duolingo,2,25,"for all this talk about ""keeping education free"", it really pushes the premium/played account status."
duolingo,2,25,also the network is hideous beyond description and adds nothing but clatter to the experience.
duolingo,2,25,i lastly prefer the web version over this mess.
duolingo,2,25,i only keep this on my phone for doing last-minute exercises to save me streak.
duolingo,2,4,"the pp principally works, but it does not include the explanations the web pp offers (the tips section for each lesson explaining background)."
duolingo,2,4,without that it's often hard to follow.
duolingo,2,4,also often there is an error when trying to access the forum for a given phrase.
duolingo,2,4,"together with domingo often claiming an answer is right, even though there are spelling mistakes (and not pointing them out), this pretty much means you constantly need a second pp to verify the spelling is actually correct."
duolingo,2,3,"i would give 5 stars, but sadly i can't."
duolingo,2,3,"quite a few bags i guess: like not accepting the right answer and having a whole bunch of points (450) wiped, so not only did i lose my hearts, i lost all my progress & hardware:( & my place in the leader boards."
duolingo,2,3,really disheartening.
duolingo,2,3,it's such a good system otherwise.
duolingo,2,3,please can you sort this?
duolingo,2,0,domingo was a little rocky at first when learning japanese and i still dont agree with some of its training.
duolingo,2,0,however european languages ended up being perfect for the type of training structure they have and gave it a 3 out of 5. the real problem with the pp came when i convinced friends to download it and they were given a form of the pp that try's to force you to upgrade to premium with hearts.
duolingo,2,0,it ruined the experience and they installed it.
duolingo,2,0,"normally, i'd rate it 5 stars!"
duolingo,2,0,"however, they've apparently decided to remove the tips section of the german course, which i'm currently doing!"
duolingo,2,0,"well, that wrecked it for me!"
duolingo,2,0,the tips were really useful!
duolingo,2,0,i've decided to stop using the pp for this reason!
duolingo,2,0,!
duolingo,2,0,you completely removed the motivation to reach your daily goal since you can now maintain your streak by completing a single lesson.
duolingo,2,0,"also, this pp could really use some states like time spent learning or words learnt (they even sometimes tell you in random email)."
duolingo,2,0,"edit: also, it is 2020, get a dark mode :("
duolingo,2,0,doing japanese course in introduction and it is extremely frustration when using you/natasha no name wa madura hand desk.
duolingo,2,0,when using 'desk' in the sentence it is purely at random of and can get me to lose a hearts.
duolingo,2,0,it feels more like luck instead of learning.
duolingo,2,0,please fix as this feels like an intentional feature to buy premium membership which goes against your motor if free learning.
duolingo,2,1,it seems like a good pp.
duolingo,2,1,"alas, i was asked to ""create a profile"" before i could progress past the basic lessons."
duolingo,2,1,"also, no way to turn off modifications(probably locked behind account creation)."
duolingo,2,1,the heart system is trash.
duolingo,2,1,shame really.
duolingo,2,0,"i really did love this pp but there is a bug in it that means it keeps easing my progress so i can't clock and continue on to more difficult lessons, effectively making the pp useless."
duolingo,2,0,i hope they fix this soon cause otherwise i would've given it 5 stars.
duolingo,2,0,this is really good pp....but there are some faults that need to be checked immediately....in hind n english words watching section there are some words that are correctly matched but the answer will show wrong...eg for word hate correct answer is narrate carta run...but answer will show that it is wrong....hence we cannot move to next page until all answers are correct....so there is no other option but to leave the page....ply solve this issue...other words are cats n billion...
duolingo,2,1,"i dont know about other languages, but this pp is bad at teaching japanese."
duolingo,2,1,i am learning japanese and am a beginner (i dont know hiragana or any japanese words).
duolingo,2,1,"domingo at times shows me a random word in english, and gives me 3 choice to choose from (written in hiragana)."
duolingo,2,1,"example: the word is ""pencil"", which i have never heard in japanese before, meaning i wont know how its spelled in hiragana either."
duolingo,2,1,"the pp forces me to guess, and when i'm wrong, i lose a heart and can learn anymore."
duolingo,2,1,what do you do when you pass levels but the pp doesn process your progress.
duolingo,2,1,its like frozen i keep going trough the lessons without mistakes and give done 5 lessons even progressed to the next level but the pp says give only done 2 out of 8 lessons ??
duolingo,2,1,"any solutions for that, rather than that been working perfectly so far, but what currently happening is rather annoying"
duolingo,2,0,"hearts didn't properly regenerate, answers had duplicates solutions that would cause you to lose hearts, closing an ad would lead to getting domingo plus every time, and there are better methods of teaching languages."
duolingo,2,0,domingo doesn't have a good structure for reviewing words.
duolingo,2,19,used to be a wonderful pp to get people learning new languages without spending a fortune or having to go to classes in busy lifestyle.
