app,ratings,helpful-vote,comment
duolingo,2,0,"i got the pp and have been using it all the time. personally thought it was great. about a month in i tried to get my girlfriend to join, but for whatever reason her game uses ""hearts"" where mine uses ""lights"". this difference literally means that she cannot do what i have been doing, which is playing for about 5 minutes each day. the heart system actually stops you from learning and instead blocks you with a pay wall to play their ""free"" pp..."
duolingo,2,10,"spanish: needs to indicate what dialect or country of origin each word comes from. needs much more variety with pronunciation examples. some examples are inaccurate or misleading. needs option for all verbal only exercises, for marketing a specific dialect too. the problem with visual based learning is that one needs visual cubs to remember things - once the cubs are absent (like in realistic conversation), you forget it all. ok for absolute beginners, but not for further learning."
duolingo,2,1,"often doesn't count when you've completed a level. have to take the same lessons over and over before it shows that it's been completed. but if you make a mistake, it will take your hearts. also, you sometimes have to pay twice to refill your hearts. if the pp worked correctly, it would be a five star pp."
duolingo,2,18,"this pp goes in wrong direction. as many people have mentioned, the hearts system discourages learning. besides, the pp lacks many features that the web version has - such as timed practice and ability to type answers instead of selecting them from the tray. i used to be a plus user for several months, but stopped since i don't want to sponsor the changes i don't agree with. now it looks like it's time to install the pp altogether and stick to web. if the gems make it to web too, i'm out."
duolingo,2,7,"it's not horrible when you first start out. it's actually rather easy to learn. however, there are some issues in the later ""levels"". it gets harder, which it should. if you use headphones or earbuds the voice sounds like it is saying one thing but it is trying to say something else. the translations can be rather strange or awkward. the heart system is kind of painless, it's only there to put a block on progress. if you want a good language pp, i suggest paying a subscription to munro."
duolingo,2,11,"only feared towards an american audience, for both spanish and english earners (even the flags are wrong). the same with portuguese. it's very inconsistent when his-tying due to finger errors. however, the biggest problem is there are never any explanations as to why the rule is as it is. you only know if it's right or wrong and have no indication why this is the case. very limited but a decent option to start learning some basic vocabulary for a new language."
duolingo,2,1,"great pp, but there's some issues with the latest versions. i've had up take some courses over again because do somehow hasn't remembered what i've completed. and there's no bug-report feature!?? also, when you get the ""scuffle words"" to complete a sentence, it's no longer possible to rendering words by pulling (andros 10)"
duolingo,2,7,"this pp is pretty much only good for vocabulary. i'm trying to learn a completely new language, and the rules of the language are not being explained. i don't know how to properly read the language, any of the grammar rules, what words to use in each instance, act. i'm not learning the language-- i'm learning neat words and phrases that do me no good w/o understanding. it would be better to give a lesson on the mechanics of the language and then the flash cards to test the skill."
duolingo,2,0,it is very easy for your brain to use process of elimination rather than memorization. clot better learning if you write along and keep the audit off and switch your keyboard to the native language. do not except to learn here without daily use of the pp and writing outside of it. this is my experience but when i am done i usually can't remember much of it or it is mixed up. (i am mainly referring to japanese and learning hiragana) this would be much better if it included a writing exercise.
duolingo,2,9,"i honestly liked the older version better. i hate the heart system, i only get 5 mistakes and i really don't want to pay. i'm learning french for school and it's really hard to when i only have 5 mistakes. it would be 5 stars if there was no heart system, i get that they need people to pay but i like it when there was no heart system."
duolingo,2,50,"this pp is very educational and helped me a lot with my languages ( learning spanish). however, i am not impressed more than i am disappointed. if you answer a question wrong, it takes away a heart and you only have 5 and if you run out you either have to wait or pay money to have unlimited hearts and the time for waiting is a couple of days. how are you supposed to learn if you can even try? i am very mad about the limit."
duolingo,2,6,"have been using the pp to learn japanese for over 40 days straight. however, i am unable to move on because i keep running out of hearts (i.e. lives) for supposed errors, when i have the exact answer as the ""correction"". i have reported the errors to no resolve. so now i am frustrated and will be meeting the pp. i definitely do not have time for this..."
duolingo,2,6,this new heart thing doesn't work. i got answers that are right but lose hearts regardless. i get penalized for minor spelling errors. and on top of that i need gems to refill those hearts. how long does it take to refill those gems. this doesn't help learning. it might help you get more subscribers but whatever. learning has turned from something fun to a stupid grind to refill my hearts.
duolingo,2,2,"it's fine for those who have never studied a language before. for advanced earners it's a joke, particularly with all of the technical stitches. it's impossible to move to new levels because the program translated wrong. also, while i can move ahead in progress, it has stopped registering my advances. i get no record of my status."
